id,Country (or dependency),Population 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop,World Share
187,Sao Tome & Principe,240254,0.020,4718,250,960,−650,3.53,19.5,0.78,0
188,Samoa,219306,0.010,1287,77,2830,"−2,815",3.75,19.8,0.16,0
189,Curaçao,185487,0.000,5,418,444,470,1.07,38.7,0.81,0
190,Saint Lucia,180149,0.000,405,295,610,−23,1.38,34.6,0.2,0
191,Guam,168999,0.010,1222,313,540,−493,2.71,31.5,0.99,0
192,Kiribati,136488,0.010,1970,169,810,−462,3.09,22.9,0.57,0
193,Seychelles,132779,0.020,2361,289,460,1590,2.08,34.3,0.44,0
194,Grenada,117303,0.000,96,345,340,−185,1.46,34.4,0.36,0
195,Micronesia,113683,0.000,523,162,700,"−1,125",2.71,23.3,0.24,0
196,Aruba,108147,0.000,81,601,180,111,1.6,41.5,0.45,0
197,Tonga,103742,-0.004,−433,144,720,"−2,150",3.07,20.8,0.26,0
198,St. Vincent & Grenadines,99924,-0.007,−692,256,390,−714,1.75,34.4,0.62,0
199,Antigua and Barbuda,94209,0.000,437,214,440,12,1.58,36.3,0.29,0
200,U.S. Virgin Islands,84138,-0.009,−767,240,350,−357,2.07,44.8,0,0
201,Isle of Man,84118,-0.001,−42,148,570,166,1.53,46.1,0.57,0
202,Andorra,82904,0.010,966,176,470,843,1.1,43.9,0.82,0
203,Cayman Islands,75844,0.020,1387,316,240,888,1.51,38.7,0.89,0
204,Dominica,65871,-0.005,−334,88,750,−242,1.47,36.3,0.85,0
205,Bermuda,64555,-0.001,−81,1291,50,−2,1.41,46,0.93,0
206,Faeroe Islands,56002,0.010,602,40,1396,386,2.2,37.1,0.4,0
207,Greenland,55745,-0.002,−95,0,410450,−265,1.91,35.1,0.91,0
208,Saint Kitts & Nevis,46922,0.000,79,180,260,18,1.51,36.2,0.39,0
209,Turks and Caicos,46855,0.010,320,49,950,177,1.44,39.2,0.79,0
210,American Samoa,46029,-0.016,−736,230,200,"−1,051",2.25,29,0,0
211,Sint Maarten,43923,0.010,573,1292,34,530,1.43,41.8,1,0
212,Northern Mariana Islands,43541,-0.017,−737,95,460,−963,2.28,38,0,0
213,Liechtenstein,40128,0.010,258,251,160,194,1.54,44.5,0.15,0
214,Gibraltar,40126,0.020,797,4013,10,549,1.88,38.8,0.89,0
215,British Virgin Islands,39732,0.010,261,265,150,153,1.06,38.6,0.43,0
216,Monaco,38341,-0.008,−290,25732,1,100,2.09,53.6,0,0
217,Marshall Islands,36282,-0.034,"−1,266",202,180,"−1,698",2.82,20.4,0,0
218,San Marino,33572,0.000,−9,560,60,122,1.16,48.6,0,0
219,Caribbean Netherlands,31338,0.020,663,96,328,600,1.45,39.6,0.66,0
220,Palau,17663,-0.002,−32,38,460,−16,1.86,38.5,0,0
221,Anguilla,14728,0.010,130,164,90,70,1.35,38.7,0,0
222,Cook Islands,13263,-0.034,−466,55,240,−460,2,37.1,0,0
223,Nauru,12025,0.010,78,601,20,−122,3.25,20.2,0.94,0
224,Saint Barthelemy,11414,0.010,156,544,21,158,0.83,39,0,0
225,Wallis & Futuna,11194,-0.007,−83,80,140,−83,1.4,38.2,0,0
226,Tuvalu,9492,-0.016,−154,316,30,−255,3.14,24.2,0.86,0
227,Saint Pierre & Miquelon,5574,-0.010,−54,24,230,−8,1.28,47.2,0,0
228,Saint Helena,5197,-0.008,−40,13,390,1,1.64,50.9,0.33,0
229,Montserrat,4359,-0.007,−30,44,100,−9,1.45,41.6,0.12,0
230,Falkland Islands,3469,0.000,−1,0,12170,−17,1.7,42.8,0.68,0
231,Tokelau,2608,0.040,102,261,10,53,2.57,27.3,0,0
232,Niue,1821,0.000,2,7,260,3,2.46,35.7,0.45,0
233,Holy See,501,0.010,5,1253,0,13,1,57.4,0,0
