,AAPL,MSFT,NVDA,GOOGL,AMZN,META,AVGO,ASML,TSM,ADBE,NFLX,AMD,^NDX,QQQ,SPY
2017-04-06,33.2240104675293,59.3561897277832,2.4845550060272217,41.93812561035156,44.91400146484375,140.19070434570312,16.95754051208496,119.70503997802734,26.259389877319336,130.14999389648438,14.37399959564209,13.270000457763672,5420.8798828125,124.4361343383789,204.7162322998047
2017-04-07,33.14999771118164,59.31103515625,2.473952293395996,41.789249420166016,44.74399948120117,139.8034210205078,17.016021728515625,119.8878173828125,26.267372131347656,130.22000122070312,14.310999870300293,13.520000457763672,5418.3701171875,124.3702163696289,204.50753784179688
2017-04-10,33.110687255859375,59.17557907104492,2.410827398300171,41.76940155029297,45.35200119018555,140.06163024902344,16.99808120727539,118.72711944580078,25.987672805786133,130.16000366210938,14.385000228881836,13.100000381469727,5421.68017578125,124.41731262207031,204.62930297851562
2017-04-11,32.75453567504883,59.13043975830078,2.41945743560791,41.679080963134766,45.11800003051758,138.94940185546875,16.96143913269043,118.63574981689453,25.89177894592285,129.9499969482422,14.4350004196167,13.100000381469727,5398.39990234375,123.88011169433594,204.38584899902344
2017-04-12,32.79383850097656,58.904685974121094,2.399484157562256,41.75749588012695,44.811500549316406,138.61175537109375,16.310426712036133,117.90461730957031,25.7958927154541,129.3800048828125,14.383000373840332,12.760000228881836,5377.02978515625,123.3806381225586,203.490234375
2017-04-13,32.62041091918945,58.65182876586914,2.3546063899993896,41.693973541259766,44.23350143432617,138.42308044433594,16.475717544555664,117.32884979248047,25.436281204223633,129.0500030517578,14.291999816894531,12.3100004196167,5353.58984375,122.89055633544922,202.1686248779297
2017-04-14,32.62041091918945,58.65182876586914,2.3546063899993896,41.693973541259766,44.23350143432617,138.42308044433594,16.475717544555664,117.32884979248047,25.436281204223633,129.0500030517578,14.291999816894531,12.3100004196167,5353.58984375,122.89055633544922,202.1686248779297
2017-04-17,32.80078125,59.13043975830078,2.4468278884887695,42.43587112426758,45.0994987487793,140.43899536132812,16.67452621459961,118.96475219726562,25.596105575561523,129.99000549316406,14.725000381469727,12.789999961853027,5399.2001953125,123.90837860107422,203.95973205566406
2017-04-18,32.65507507324219,59.049163818359375,2.4483067989349365,42.37929916381836,45.18899917602539,139.98219299316406,16.614492416381836,119.40341186523438,25.404314041137695,129.80999755859375,14.336000442504883,12.949999809265137,5391.66015625,123.71992492675781,203.3511199951172
2017-04-19,32.53482437133789,58.73309326171875,2.4579241275787354,42.50435256958008,44.959999084472656,141.2830810546875,16.655811309814453,115.96712493896484,25.260465621948242,130.22000122070312,13.97599983215332,12.84000015258789,5399.64013671875,123.91780090332031,202.97718811035156
2017-04-20,32.94186019897461,59.14849090576172,2.49688458442688,42.68151092529297,45.10300064086914,142.80245971679688,17.012901306152344,118.8551025390625,25.404314041137695,131.4199981689453,14.118000030517578,13.109999656677246,5443.52978515625,124.95446014404297,204.62930297851562
2017-04-21,32.90254592895508,59.96123123168945,2.5072412490844727,42.625431060791016,44.92649841308594,142.68331909179688,16.970014572143555,118.83684539794922,25.63606071472168,131.52000427246094,14.286999702453613,13.0,5442.0498046875,124.92621612548828,203.9771728515625
2017-04-24,33.219390869140625,60.981624603271484,2.5385560989379883,43.616939544677734,45.37049865722656,144.4608917236328,17.249135971069336,121.9715576171875,26.13152313232422,132.88999938964844,14.383000373840332,13.130000114440918,5508.02978515625,126.43404388427734,206.220458984375
2017-04-25,33.425193786621094,61.333824157714844,2.5826945304870605,44.108726501464844,45.38100051879883,145.47381591796875,17.401947021484375,122.68440246582031,26.427194595336914,133.49000549316406,15.215999603271484,13.489999771118164,5548.18994140625,127.34821319580078,207.4203643798828
2017-04-26,33.228633880615234,61.2525520324707,2.5649404525756836,44.123619079589844,45.464500427246094,145.5433349609375,17.2834415435791,121.05762481689453,26.371259689331055,132.7899932861328,15.017000198364258,13.40999984741211,5541.08984375,127.16915893554688,207.2899627685547
2017-04-27,33.25407409667969,61.64988708496094,2.604887008666992,44.23775100708008,45.91899871826172,146.67543029785156,17.39337158203125,121.50545501708984,26.387235641479492,133.3800048828125,15.307999610900879,13.619999885559082,5571.27978515625,127.93248748779297,207.4638671875
2017-04-28,33.22169494628906,61.82146453857422,2.571845054626465,45.87934875488281,46.2495002746582,149.20773315429688,17.215608596801758,121.69652557373047,26.427194595336914,133.74000549316406,15.220000267028809,13.300000190734863,5583.52978515625,128.1586456298828,207.01170349121094
2017-05-01,33.89931106567383,62.67932891845703,2.629544734954834,46.291236877441406,47.4114990234375,151.40240478515625,17.255369186401367,122.62874603271484,26.690914154052734,135.11000061035156,15.53499984741211,13.619999885559082,5629.6298828125,129.2989959716797,207.53341674804688
2017-05-02,34.11439514160156,62.58001708984375,2.5516250133514404,46.50313949584961,47.34700012207031,151.72018432617188,17.577367782592773,124.59473419189453,27.11444664001465,135.0,15.645000457763672,10.319999694824219,5644.06982421875,129.51573181152344,207.61167907714844
2017-05-03,34.01031494140625,62.38134002685547,2.5706119537353516,47.06687545776367,47.05149841308594,150.74697875976562,17.534488677978516,123.83783721923828,27.40213394165039,134.85000610351562,15.559000015258789,10.390000343322754,5625.16015625,129.10108947753906,207.3594970703125
2017-05-04,33.887752532958984,62.13751220703125,2.560748815536499,47.378028869628906,46.87649917602539,149.80357360839844,17.41753578186035,124.65931701660156,27.282262802124023,134.61000061035156,15.725000381469727,10.100000381469727,5626.31982421875,129.14816284179688,207.60299682617188
2017-05-05,34.449729919433594,62.30908966064453,2.5609946250915527,47.15768814086914,46.70750045776367,149.19781494140625,17.655338287353516,125.37924194335938,27.506025314331055,134.83999633789062,15.65999984741211,10.1899995803833,5646.08984375,129.619384765625,208.4202880859375
2017-05-08,35.38636779785156,62.25492477416992,2.5341179370880127,47.57503890991211,47.45199966430664,150.01211547851562,17.548519134521484,123.00714874267578,27.953535079956055,135.1199951171875,15.637999534606934,10.039999961853027,5659.06982421875,129.90216064453125,208.38551330566406
2017-05-09,35.61301040649414,62.34523010253906,2.5383100509643555,47.47677993774414,47.64099884033203,149.43614196777344,17.81205177307129,124.56702423095703,28.29716682434082,135.60000610351562,15.746000289916992,10.180000305175781,5678.31005859375,130.35446166992188,208.19424438476562
2017-05-10,35.444175720214844,62.58903503417969,2.99078631401062,47.38398361206055,47.4474983215332,149.2474365234375,18.035810470581055,123.49637603759766,28.29716682434082,136.14999389648438,16.027999877929688,10.789999961853027,5681.68017578125,130.42979431152344,208.56813049316406
2017-05-11,35.75072479248047,61.82146453857422,3.119255304336548,47.43608093261719,47.38100051879883,148.9991912841797,18.0170955657959,123.82862854003906,28.417028427124023,136.2899932861328,15.854000091552734,11.069999694824219,5674.22021484375,130.32618713378906,208.14205932617188
2017-05-12,36.24999237060547,61.749229431152344,3.153531074523926,47.398868560791016,48.067501068115234,149.28720092773438,18.396785736083984,125.01007080078125,28.265193939208984,136.83999633789062,16.08099937438965,11.260000228881836,5686.81005859375,130.6183624267578,207.79428100585938
